,date,hysteresis,method,dateAndTime,iM_min
0,0,on,1,0,19610
0,1,on,1,0,19610
0,2,on,1,0,19588
0,3,on,1,0,21230
0,4,on,1,0,21230
0,5,on,1,0,24940
0,6,on,1,0,24940
0,7,on,1,0,29427
0,8,on,1,0,29506
0,9,on,1,0,29506
0,10,on,1,0,30055
0,11,on,1,0,30258
0,12,on,1,0,30258
0,0,off,1,0,19610
0,1,off,1,0,19610
0,2,off,1,0,19588
0,3,off,1,0,21230
0,4,off,1,0,21230
0,5,off,1,0,24940
0,6,off,1,0,24940
0,7,off,1,0,29427
0,8,off,1,0,29506
0,9,off,1,0,29506
0,10,off,1,0,30055
0,11,off,1,0,30258
0,12,off,1,0,30258
0,0,on,2,0,21232
0,1,on,2,0,22344
0,2,on,2,0,24928
0,3,on,2,0,25624
0,4,on,2,0,29397
0,5,on,2,0,29643
0,6,on,2,0,29499
0,7,on,2,0,30054
0,8,on,2,0,30078
0,9,on,2,0,30113
0,10,on,2,0,30292
0,11,on,2,0,30955
0,12,on,2,0,31183
0,0,off,2,0,21243
0,1,off,2,0,21231
0,2,off,2,0,24937
0,3,off,2,0,25536
0,4,off,2,0,25625
0,5,off,2,0,29511
0,6,off,2,0,29646
0,7,off,2,0,30034
0,8,off,2,0,30052
0,9,off,2,0,30058
0,10,off,2,0,30317
0,11,off,2,0,30946
0,12,off,2,0,31178
0,0,on,3,0,21233
0,1,on,3,0,21230
0,2,on,3,0,24922
0,3,on,3,0,25625
0,4,on,3,0,25621
0,5,on,3,0,29427
0,6,on,3,0,29427
0,7,on,3,0,29643
0,8,on,3,0,29661
0,9,on,3,0,29658
0,10,on,3,0,30217
0,11,on,3,0,30947
0,12,on,3,0,31181
0,0,off,3,0,21240
0,1,off,3,0,21231
0,2,off,3,0,22402
0,3,off,3,0,25544
0,4,off,3,0,25532
0,5,off,3,0,29468
0,6,off,3,0,29470
0,7,off,3,0,29662
0,8,off,3,0,30035
0,9,off,3,0,30061
0,10,off,3,0,30214
0,11,off,3,0,30962
0,12,off,3,0,31181
